Date,USD,,Date,GBP,,Date,EUR
6 Jan 2004,79.01866,,6 Jan 2004,140.84286,,6 Jan 2004,99.68994
7 Jan 2004,78.87716,,7 Jan 2004,143.36713,,7 Jan 2004,100.33175
8 Jan 2004,78.84478,,8 Jan 2004,143.09539,,8 Jan 2004,99.77018
9 Jan 2004,78.90775,,9 Jan 2004,143.2728,,9 Jan 2004,99.38431
12 Jan 2004,78.92975,,12 Jan 2004,144.73348,,12 Jan 2004,100.50125
13 Jan 2004,78.76539,,13 Jan 2004,146.18856,,13 Jan 2004,101.46558
14 Jan 2004,79.00465,,14 Jan 2004,145.79518,,14 Jan 2004,100.96004
15 Jan 2004,79.46565,,15 Jan 2004,145.87509,,15 Jan 2004,100.57967
16 Jan 2004,79.69597,,16 Jan 2004,145.78784,,16 Jan 2004,100.88713
19 Jan 2004,79.87251,,19 Jan 2004,144.80886,,19 Jan 2004,99.81668
20 Jan 2004,79.94416,,20 Jan 2004,142.90019,,20 Jan 2004,98.779
21 Jan 2004,80.0311,,21 Jan 2004,144.13601,,21 Jan 2004,99.91883
22 Jan 2004,79.97657,,22 Jan 2004,146.68503,,22 Jan 2004,101.18636
23 Jan 2004,80.01058,,23 Jan 2004,146.76341,,23 Jan 2004,101.3414
26 Jan 2004,80.02076,,26 Jan 2004,148.07842,,26 Jan 2004,102.1385
27 Jan 2004,80.09064,,27 Jan 2004,146.03727,,27 Jan 2004,100.76203
28 Jan 2004,80.10916,,28 Jan 2004,144.47687,,28 Jan 2004,99.82402
29 Jan 2004,80.17347,,29 Jan 2004,146.73348,,29 Jan 2004,101.05866
30 Jan 2004,80.17503,,30 Jan 2004,145.95864,,30 Jan 2004,100.29095
2 Feb 2004,80.1535,,2 Feb 2004,145.04577,,2 Feb 2004,99.14988
3 Feb 2004,80.12158,,3 Feb 2004,145.96549,,3 Feb 2004,99.83149
5 Feb 2004,79.97567,,5 Feb 2004,146.68338,,5 Feb 2004,100.32148
6 Feb 2004,79.98737,,6 Feb 2004,146.70484,,6 Feb 2004,100.65611
9 Feb 2004,79.89008,,9 Feb 2004,146.75808,,9 Feb 2004,100.23009
10 Feb 2004,79.8788,,10 Feb 2004,148.47073,,10 Feb 2004,101.81352
11 Feb 2004,80.26516,,11 Feb 2004,149.96742,,11 Feb 2004,102.53874
12 Feb 2004,79.92951,,12 Feb 2004,149.34829,,12 Feb 2004,101.3746
13 Feb 2004,79.83896,,13 Feb 2004,150.99144,,13 Feb 2004,102.27371
16 Feb 2004,79.74347,,16 Feb 2004,150.89857,,16 Feb 2004,102.18328
17 Feb 2004,79.73608,,17 Feb 2004,150.42211,,17 Feb 2004,101.75121
18 Feb 2004,79.73081,,18 Feb 2004,151.28124,,18 Feb 2004,102.32652
19 Feb 2004,79.8078,,19 Feb 2004,152.36905,,19 Feb 2004,102.85629
20 Feb 2004,79.77898,,20 Feb 2004,150.63069,,20 Feb 2004,101.32728
23 Feb 2004,79.82009,,23 Feb 2004,150.43692,,23 Feb 2004,101.00434
25 Feb 2004,79.81087,,25 Feb 2004,148.24071,,25 Feb 2004,100.23447
26 Feb 2004,79.78859,,26 Feb 2004,150.57703,,26 Feb 2004,101.05225
27 Feb 2004,79.8149,,27 Feb 2004,149.41349,,27 Feb 2004,99.68881
28 Feb 2004,79.83841,,1 Mar 2004,148.60323,,1 Mar 2004,99.27108
1 Mar 2004,79.83841,,2 Mar 2004,149.12923,,2 Mar 2004,99.63768
2 Mar 2004,79.82509,,3 Mar 2004,148.7612,,3 Mar 2004,99.10496
3 Mar 2004,79.82036,,4 Mar 2004,146.4957,,4 Mar 2004,97.15029
4 Mar 2004,79.82112,,5 Mar 2004,146.16531,,5 Mar 2004,97.33711
5 Mar 2004,79.82377,,9 Mar 2004,145.24257,,9 Mar 2004,97.42454
9 Mar 2004,79.84309,,10 Mar 2004,148.03322,,10 Mar 2004,99.38425
10 Mar 2004,79.93586,,11 Mar 2004,145.47428,,11 Mar 2004,98.22691
11 Mar 2004,79.91775,,12 Mar 2004,143.50557,,12 Mar 2004,97.33025
12 Mar 2004,79.92958,,15 Mar 2004,143.80374,,15 Mar 2004,98.13309
15 Mar 2004,79.99763,,16 Mar 2004,144.9035,,16 Mar 2004,98.37793
16 Mar 2004,79.98206,,17 Mar 2004,145.5493,,17 Mar 2004,99.09603
17 Mar 2004,80.38289,,18 Mar 2004,146.18893,,18 Mar 2004,98.45163
18 Mar 2004,80.67822,,19 Mar 2004,145.91661,,19 Mar 2004,98.22894
19 Mar 2004,79.93241,,22 Mar 2004,146.64234,,22 Mar 2004,98.87989
22 Mar 2004,80.07117,,23 Mar 2004,146.77829,,23 Mar 2004,98.33225
23 Mar 2004,80.00997,,24 Mar 2004,147.75686,,24 Mar 2004,98.72601
24 Mar 2004,80.0373,,25 Mar 2004,148.14527,,25 Mar 2004,98.7528
25 Mar 2004,80.31295,,26 Mar 2004,146.48455,,26 Mar 2004,97.68857
26 Mar 2004,80.52141,,29 Mar 2004,146.58994,,29 Mar 2004,98.03821
29 Mar 2004,80.58377,,30 Mar 2004,146.74943,,30 Mar 2004,97.91101
30 Mar 2004,80.75135,,31 Mar 2004,147.23798,,31 Mar 2004,98.5383
31 Mar 2004,80.77572,,1 Apr 2004,148.664,,1 Apr 2004,99.13635
1 Apr 2004,81.04672,,2 Apr 2004,149.42481,,2 Apr 2004,99.60576
2 Apr 2004,80.83571,,6 Apr 2004,149.97636,,6 Apr 2004,99.77371
6 Apr 2004,80.97201,,7 Apr 2004,148.53181,,7 Apr 2004,97.96589
7 Apr 2004,80.97024,,8 Apr 2004,148.83598,,8 Apr 2004,97.98943
8 Apr 2004,81.04328,,12 Apr 2004,149.31367,,12 Apr 2004,98.6935
12 Apr 2004,81.10906,,13 Apr 2004,148.83341,,13 Apr 2004,98.0645
13 Apr 2004,81.15235,,14 Apr 2004,148.40679,,14 Apr 2004,97.40895
14 Apr 2004,81.18089,,15 Apr 2004,146.28352,,15 Apr 2004,96.56529
15 Apr 2004,81.10641,,16 Apr 2004,144.98521,,16 Apr 2004,96.81637
16 Apr 2004,81.1333,,19 Apr 2004,145.57048,,19 Apr 2004,97.24742
19 Apr 2004,81.2562,,20 Apr 2004,147.42993,,20 Apr 2004,98.11864
20 Apr 2004,81.27787,,21 Apr 2004,146.10081,,21 Apr 2004,97.1022
21 Apr 2004,81.36601,,22 Apr 2004,144.29805,,22 Apr 2004,96.40518
22 Apr 2004,81.5059,,23 Apr 2004,144.25363,,23 Apr 2004,96.62364
23 Apr 2004,81.65608,,26 Apr 2004,145.0496,,26 Apr 2004,97.07203
26 Apr 2004,81.52518,,27 Apr 2004,145.46015,,27 Apr 2004,96.59291
27 Apr 2004,81.54053,,28 Apr 2004,146.37624,,28 Apr 2004,97.11061
28 Apr 2004,81.64672,,29 Apr 2004,146.01841,,29 Apr 2004,97.4164
29 Apr 2004,81.68405,,30 Apr 2004,144.44473,,30 Apr 2004,96.6206
30 Apr 2004,81.70875,,3 May 2004,144.51066,,3 May 2004,97.69136
3 May 2004,81.70907,,4 May 2004,144.84132,,4 May 2004,97.71009
4 May 2004,81.6974,,5 May 2004,146.16308,,5 May 2004,98.35433
5 May 2004,81.69643,,6 May 2004,146.92794,,6 May 2004,99.38258
6 May 2004,81.74926,,7 May 2004,146.61866,,7 May 2004,99.44684
7 May 2004,81.78194,,10 May 2004,146.97873,,10 May 2004,98.77704
10 May 2004,81.85038,,11 May 2004,145.2251,,11 May 2004,96.74308
11 May 2004,81.84001,,12 May 2004,143.88888,,12 May 2004,96.79083
12 May 2004,81.85271,,13 May 2004,145.03149,,13 May 2004,97.25275
13 May 2004,81.89705,,14 May 2004,145.10462,,14 May 2004,97.35126
14 May 2004,81.98001,,17 May 2004,143.53813,,17 May 2004,96.66971
17 May 2004,81.92348,,18 May 2004,145.14474,,18 May 2004,98.65774
18 May 2004,82.01658,,19 May 2004,144.87295,,19 May 2004,98.4351
19 May 2004,82.11821,,20 May 2004,146.63485,,20 May 2004,98.6245
20 May 2004,82.13917,,21 May 2004,145.12626,,21 May 2004,98.03807
21 May 2004,82.16399,,24 May 2004,147.1912,,24 May 2004,98.96291
24 May 2004,82.17463,,26 May 2004,147.0625,,26 May 2004,98.29097
26 May 2004,82.18996,,27 May 2004,149.53773,,27 May 2004,99.75759
27 May 2004,82.21328,,28 May 2004,149.96524,,28 May 2004,99.93024
28 May 2004,82.21328,,31 May 2004,151.22396,,31 May 2004,100.91208
31 May 2004,82.37048,,2 Jun 2004,151.38787,,2 Jun 2004,100.79049
2 Jun 2004,82.5002,,3 Jun 2004,152.29325,,3 Jun 2004,101.34168
3 Jun 2004,82.56614,,4 Jun 2004,151.3534,,4 Jun 2004,100.883
4 Jun 2004,82.57592,,7 Jun 2004,152.17901,,7 Jun 2004,101.08308
7 Jun 2004,82.74646,,8 Jun 2004,152.32043,,8 Jun 2004,102.0354
8 Jun 2004,82.78734,,9 Jun 2004,152.71001,,9 Jun 2004,102.09097
9 Jun 2004,82.80556,,10 Jun 2004,152.14589,,10 Jun 2004,101.12413
10 Jun 2004,82.82753,,11 Jun 2004,151.41984,,11 Jun 2004,99.98517
11 Jun 2004,82.87895,,14 Jun 2004,151.54547,,14 Jun 2004,99.9242
14 Jun 2004,83.16621,,15 Jun 2004,150.62911,,15 Jun 2004,100.01167
15 Jun 2004,83.21131,,16 Jun 2004,151.15672,,16 Jun 2004,100.26577
16 Jun 2004,83.30489,,17 Jun 2004,152.50877,,17 Jun 2004,100.89915
17 Jun 2004,83.4567,,18 Jun 2004,152.97574,,18 Jun 2004,100.5336
18 Jun 2004,83.5066,,21 Jun 2004,153.07809,,21 Jun 2004,100.43661
21 Jun 2004,83.55791,,22 Jun 2004,153.28634,,22 Jun 2004,101.13221
22 Jun 2004,83.58034,,23 Jun 2004,152.11195,,23 Jun 2004,100.97331
23 Jun 2004,83.58718,,24 Jun 2004,151.96994,,24 Jun 2004,101.30772
24 Jun 2004,83.61482,,25 Jun 2004,152.01591,,25 Jun 2004,101.41083
25 Jun 2004,83.61711,,28 Jun 2004,152.27175,,28 Jun 2004,101.39743
28 Jun 2004,83.61985,,29 Jun 2004,152.64691,,29 Jun 2004,101.61426
29 Jun 2004,83.52315,,30 Jun 2004,151.95573,,30 Jun 2004,101.31216
30 Jun 2004,83.35019,,1 Jul 2004,150.74222,,1 Jul 2004,101.10342
1 Jul 2004,83.37051,,2 Jul 2004,151.53424,,2 Jul 2004,101.57863
2 Jul 2004,83.37051,,5 Jul 2004,151.92246,,5 Jul 2004,101.496
5 Jul 2004,83.51518,,6 Jul 2004,153.70537,,6 Jul 2004,103.119
6 Jul 2004,83.89115,,7 Jul 2004,153.8164,,7 Jul 2004,103.05061
7 Jul 2004,83.92427,,8 Jul 2004,155.21742,,8 Jul 2004,103.62346
8 Jul 2004,83.75643,,9 Jul 2004,154.91851,,9 Jul 2004,103.4298
9 Jul 2004,83.77596,,12 Jul 2004,155.16352,,12 Jul 2004,103.79702
12 Jul 2004,83.7816,,13 Jul 2004,156.04857,,13 Jul 2004,104.02401
13 Jul 2004,83.70806,,14 Jul 2004,155.22226,,14 Jul 2004,103.38404
14 Jul 2004,83.54266,,15 Jul 2004,155.15615,,15 Jul 2004,103.38448
15 Jul 2004,83.61058,,16 Jul 2004,154.76976,,16 Jul 2004,103.43081
16 Jul 2004,83.65481,,19 Jul 2004,155.2399,,19 Jul 2004,103.32599
19 Jul 2004,83.63768,,20 Jul 2004,156.36652,,20 Jul 2004,103.86512
20 Jul 2004,83.65425,,21 Jul 2004,155.71283,,21 Jul 2004,103.99007
21 Jul 2004,83.77513,,22 Jul 2004,154.61751,,22 Jul 2004,103.17058
22 Jul 2004,83.85807,,23 Jul 2004,154.0346,,23 Jul 2004,102.82111
23 Jul 2004,83.8603,,26 Jul 2004,153.83913,,26 Jul 2004,102.20991
26 Jul 2004,83.88175,,27 Jul 2004,154.45783,,27 Jul 2004,101.98478
27 Jul 2004,83.88976,,28 Jul 2004,154.70691,,28 Jul 2004,102.23759
28 Jul 2004,83.88381,,29 Jul 2004,152.53798,,29 Jul 2004,100.90625
29 Jul 2004,83.88582,,30 Jul 2004,152.51566,,30 Jul 2004,100.90788
30 Jul 2004,83.91508,,2 Aug 2004,152.52494,,2 Aug 2004,101.20743
2 Aug 2004,83.97563,,3 Aug 2004,153.87714,,3 Aug 2004,101.4593
3 Aug 2004,83.98949,,4 Aug 2004,152.74274,,4 Aug 2004,100.93011
4 Aug 2004,83.96149,,5 Aug 2004,152.83972,,5 Aug 2004,100.89941
5 Aug 2004,83.97787,,6 Aug 2004,153.35998,,6 Aug 2004,101.30717
6 Aug 2004,84.03747,,9 Aug 2004,153.2461,,9 Aug 2004,101.31779
9 Aug 2004,84.0672,,10 Aug 2004,154.98846,,10 Aug 2004,103.15744
10 Aug 2004,84.10031,,11 Aug 2004,154.62098,,11 Aug 2004,103.58815
11 Aug 2004,84.11543,,12 Aug 2004,153.887,,12 Aug 2004,102.95346
