Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,0.95,2014,August,2014,August,2014,May
EUR,92.384,2009,March,2009,March,2008,December
EUR,93.679,2008,November,2008,November,2008,August
EUR,93.859,2008,November,2008,November,2008,August
EUR,93.922,2008,October,2008,November,2008,August
EUR,94.02563,2005,November,2005,November,2005,November
EUR,94.03897,2005,November,2005,November,2005,November
EUR,94.055,2008,November,2008,November,2008,August
EUR,94.2332,2005,November,2005,November,2005,November
EUR,94.25494,2005,November,2005,November,2005,November
EUR,94.29289,2005,November,2005,November,2005,November
EUR,94.355,2008,December,2008,December,2008,August
EUR,94.39,2008,October,2008,October,2008,August
EUR,94.487,2008,December,2008,December,2008,August
EUR,94.54456,2005,November,2005,November,2005,November
EUR,94.55813,2005,November,2005,November,2005,November
EUR,94.73353,2005,November,2005,November,2005,November
EUR,94.77511,2005,December,2005,December,2005,December
EUR,94.77991,2005,December,2005,December,2005,December
EUR,94.78498,2005,December,2005,December,2005,December
EUR,94.78499,2005,December,2005,December,2005,December
EUR,94.7864,2005,December,2005,December,2005,December
EUR,94.824,2009,February,2009,February,2008,October
EUR,94.851,2009,February,2009,February,2008,October
EUR,94.877,2009,February,2009,February,2008,October
EUR,94.896,2009,March,2009,March,2008,November
EUR,94.97172,2005,December,2005,December,2005,November
EUR,94.97275,2005,December,2005,December,2005,November
EUR,94.97331,2005,December,2005,December,2005,November
EUR,94.9778,2005,December,2005,December,2005,November
EUR,94.979,2009,March,2009,March,2008,November
EUR,94.98057,2005,December,2005,December,2005,December
EUR,94.99003,2006,March,2006,March,2006,February
EUR,95.031,2009,February,2009,February,2008,November
EUR,95.043,2009,February,2009,February,2008,October
EUR,95.078,2009,March,2009,March,2008,November
EUR,95.11272,2005,November,2005,November,2005,November
EUR,95.23485,2006,February,2006,February,2006,February
EUR,95.276,2008,November,2008,November,2008,August
EUR,95.29342,2005,November,2005,November,2005,November
EUR,95.3004,2005,December,2005,December,2005,December
EUR,95.30453,2005,November,2005,November,2005,November
EUR,95.30514,2005,December,2005,December,2005,December
EUR,95.31329,2005,December,2005,December,2005,December
EUR,95.37512,2005,November,2005,November,2005,November
EUR,95.4,2009,March,2009,March,2008,November
EUR,95.42389,2006,February,2006,February,2006,February
EUR,95.45772,2006,March,2006,March,2006,March
EUR,95.46096,2006,February,2006,February,2006,February
EUR,95.46154,2006,February,2006,February,2006,February
EUR,95.46829,2006,February,2006,February,2006,February
EUR,95.482,2008,November,2008,November,2008,August
EUR,95.48801,2006,March,2006,March,2006,March
EUR,95.48944,2006,February,2006,March,2006,February
EUR,95.511,2009,February,2009,February,2008,October
EUR,95.53335,2005,December,2005,December,2005,December
EUR,95.61346,2006,January,2006,January,2005,December
EUR,95.62484,2006,March,2006,March,2006,February
EUR,95.64672,2006,March,2006,March,2006,March
EUR,95.652,2008,November,2008,November,2008,August
EUR,95.65457,2006,March,2006,March,2006,March
EUR,95.666,2009,February,2009,February,2008,October
EUR,95.73491,2005,December,2005,December,2005,December
EUR,95.78792,2006,January,2006,January,2005,December
EUR,95.79,2009,January,2009,January,2008,October
EUR,95.80899,2006,March,2006,March,2006,February
EUR,95.859,2009,March,2009,March,2008,November
EUR,95.864,2008,October,2008,October,2008,August
EUR,95.875,2009,February,2009,February,2008,October
EUR,95.88,2008,October,2008,October,2008,August
EUR,95.88,2009,February,2009,February,2008,October
EUR,95.90291,2006,February,2006,February,2006,February
EUR,95.932,2009,March,2009,March,2008,November
EUR,95.94927,2006,February,2006,February,2006,February
EUR,95.97444,2006,February,2006,February,2006,February
EUR,95.979,2008,December,2008,December,2008,September
EUR,95.98465,2006,February,2006,February,2006,February
EUR,95.986,2008,November,2008,November,2008,August
EUR,96.01,2009,February,2009,February,2008,October
EUR,96.01669,2006,March,2006,March,2006,March
EUR,96.01744,2006,March,2006,March,2006,March
EUR,96.06294,2006,February,2006,February,2006,February
EUR,96.07665,2005,December,2005,December,2005,December
EUR,96.09954,2005,November,2005,November,2005,November
EUR,96.16,2009,February,2009,February,2008,October
EUR,96.165,2009,February,2009,March,2008,November
EUR,96.1732,2006,February,2006,February,2006,January
