Attribute,Value,Date_GBP,Date_usd,Date_EUR,Day Name_fOR_USD,Day_ Name_EUR,Day_Name_GBP
EUR,0.95,13/08/2014,14/05/2014,06/08/2014,Wednesday,Wednesday,Wednesday
EUR,92.384,23/03/2009,03/12/2008,18/03/2009,Wednesday,Wednesday,Monday
EUR,93.679,14/11/2008,19/08/2008,13/11/2008,Tuesday,Thursday,Friday
EUR,93.859,21/11/2008,20/08/2008,14/11/2008,Wednesday,Friday,Friday
EUR,93.922,04/11/2008,11/08/2008,29/10/2008,Monday,Wednesday,Tuesday
EUR,94.02563,21/11/2005,16/11/2005,21/11/2005,Wednesday,Monday,Monday
EUR,94.03897,18/11/2005,14/11/2005,18/11/2005,Monday,Friday,Friday
EUR,94.03897,19/11/2005,15/11/2005,19/11/2005,Tuesday,Saturday,Saturday
EUR,94.055,25/11/2008,21/08/2008,21/11/2008,Thursday,Friday,Tuesday
EUR,94.2332,29/11/2005,23/11/2005,29/11/2005,Wednesday,Tuesday,Tuesday
EUR,94.25494,15/11/2005,08/11/2005,15/11/2005,Tuesday,Tuesday,Tuesday
EUR,94.29289,16/11/2005,09/11/2005,16/11/2005,Wednesday,Wednesday,Wednesday
EUR,94.355,05/12/2008,28/08/2008,02/12/2008,Thursday,Tuesday,Friday
EUR,94.39,29/10/2008,08/08/2008,27/10/2008,Friday,Monday,Wednesday
EUR,94.487,09/12/2008,29/08/2008,05/12/2008,Friday,Friday,Tuesday
EUR,94.54456,23/11/2005,18/11/2005,23/11/2005,Friday,Wednesday,Wednesday
EUR,94.55813,17/11/2005,10/11/2005,17/11/2005,Thursday,Thursday,Thursday
EUR,94.73353,28/11/2005,22/11/2005,28/11/2005,Tuesday,Monday,Monday
EUR,94.77511,08/12/2005,02/12/2005,08/12/2005,Friday,Thursday,Thursday
EUR,94.77991,09/12/2005,05/12/2005,09/12/2005,Monday,Friday,Friday
EUR,94.78498,12/12/2005,06/12/2005,12/12/2005,Tuesday,Monday,Monday
EUR,94.78499,14/12/2005,08/12/2005,14/12/2005,Thursday,Wednesday,Wednesday
EUR,94.7864,13/12/2005,07/12/2005,13/12/2005,Wednesday,Tuesday,Tuesday
EUR,94.824,25/02/2009,28/10/2008,20/02/2009,Tuesday,Friday,Wednesday
EUR,94.851,20/02/2009,24/10/2008,18/02/2009,Friday,Wednesday,Friday
EUR,94.877,23/02/2009,27/10/2008,19/02/2009,Monday,Thursday,Monday
EUR,94.896,12/03/2009,20/11/2008,06/03/2009,Thursday,Friday,Thursday
EUR,94.97172,05/12/2005,29/11/2005,05/12/2005,Tuesday,Monday,Monday
EUR,94.97275,06/12/2005,30/11/2005,06/12/2005,Wednesday,Tuesday,Tuesday
EUR,94.97331,02/12/2005,28/11/2005,02/12/2005,Monday,Friday,Friday
EUR,94.9778,01/12/2005,25/11/2005,01/12/2005,Friday,Thursday,Thursday
EUR,94.979,11/03/2009,14/11/2008,05/03/2009,Friday,Thursday,Wednesday
EUR,94.98057,07/12/2005,01/12/2005,07/12/2005,Thursday,Wednesday,Wednesday
EUR,94.99003,02/03/2006,21/02/2006,01/03/2006,Tuesday,Wednesday,Thursday
EUR,95.031,27/02/2009,04/11/2008,25/02/2009,Tuesday,Wednesday,Friday
EUR,95.043,26/02/2009,29/10/2008,23/02/2009,Wednesday,Monday,Thursday
EUR,95.078,06/03/2009,12/11/2008,03/03/2009,Wednesday,Tuesday,Friday
EUR,95.11272,25/11/2005,21/11/2005,25/11/2005,Monday,Friday,Friday
EUR,95.23485,21/02/2006,10/02/2006,17/02/2006,Friday,Friday,Tuesday
EUR,95.276,05/11/2008,12/08/2008,04/11/2008,Tuesday,Tuesday,Wednesday
EUR,95.29342,30/11/2005,24/11/2005,30/11/2005,Thursday,Wednesday,Wednesday
EUR,95.3004,28/12/2005,21/12/2005,28/12/2005,Wednesday,Wednesday,Wednesday
EUR,95.30453,22/11/2005,17/11/2005,22/11/2005,Thursday,Tuesday,Tuesday
EUR,95.30514,27/12/2005,20/12/2005,27/12/2005,Tuesday,Tuesday,Tuesday
EUR,95.31329,23/12/2005,19/12/2005,23/12/2005,Monday,Friday,Friday
EUR,95.37512,24/11/2005,19/11/2005,24/11/2005,Saturday,Thursday,Thursday
EUR,95.4,10/03/2009,13/11/2008,04/03/2009,Thursday,Wednesday,Tuesday
EUR,95.42389,27/02/2006,16/02/2006,24/02/2006,Thursday,Friday,Monday
EUR,95.45772,20/03/2006,07/03/2006,16/03/2006,Tuesday,Thursday,Monday
EUR,95.46096,17/02/2006,09/02/2006,16/02/2006,Thursday,Thursday,Friday
EUR,95.46154,16/02/2006,08/02/2006,15/02/2006,Wednesday,Wednesday,Thursday
EUR,95.46829,24/02/2006,15/02/2006,23/02/2006,Wednesday,Thursday,Friday
EUR,95.482,26/11/2008,25/08/2008,25/11/2008,Monday,Tuesday,Wednesday
EUR,95.48801,14/03/2006,02/03/2006,13/03/2006,Thursday,Monday,Tuesday
EUR,95.48944,01/03/2006,17/02/2006,27/02/2006,Friday,Monday,Wednesday
